"Domanda","Risposta"
"Cos'è la Linux Foundation (LF)?","È la casa leader mondiale per la collaborazione su software open source, hardware, standard e dati."
"Cos'è la Cloud Native Computing Foundation (CNCF)?","È una fondazione software open source sotto l'ombrello della Linux Foundation dedicata a rendere il cloud native computing universale e sostenibile."
"Come definisce la CNCF il termine 'cloud native'?","Le tecnologie Cloud native consentono alle organizzazioni di creare ed eseguire applicazioni scalabili in ambienti moderni e dinamici come cloud pubblici, privati e ibridi. Container, service mesh, microservizi, infrastruttura immutabile e API dichiarative esemplificano questo approccio."
"Qual è la differenza principale tra architettura monolitica e a microservizi?","L'architettura monolitica ha una singola base di codice e viene distribuita come un singolo binario, mentre l'architettura a microservizi è composta da molteplici applicazioni disaccoppiate che comunicano tra loro in rete."
"Cosa si intende per 'Vertical Scaling'?","Descrive il cambiamento nelle dimensioni dell'hardware sottostante (modifica di CPU e RAM)."
"Cosa si intende per 'Horizontal Scaling'?","Descrive il processo di generazione di nuove risorse di elaborazione, come nuove copie del processo applicativo o macchine virtuali."
"Di quale tipo di scaling si parla quando si parla di Autoscaling?","Parlando di Autoscaling parliamo di Horizontal Scaling."
"Qual è l'idea alla base del serverless computing?","Sollevare gli sviluppatori da compiti complicati come la preparazione e configurazione di risorse come rete, macchine virtuali, sistemi operativi e load balancer."
"Cos'è l'Open Container Initiative (OCI)?","Fornisce tre standard che definiscono il modo in cui costruire ed eseguire container: image-spec, runtime-spec e distribution-spec."
"Quali sono i 3 standard forniti da OCI?","image-spec, runtime-spec, distribution-spec."
"Cos'è la Container Network Interface (CNI)?","Una specifica su come implementare il networking per i container."
"Cos'è la Container Runtime Interface (CRI)?","Una specifica su come implementare i runtime dei container nei sistemi di orchestrazione dei container."
"Cos'è la Container Storage Interface (CSI)?","Una specifica su come implementare lo storage nel sistema di orchestrazione dei container."
"Quali sono le 4C della sicurezza Cloud Native?","Codice (Code), Container, Cluster, Cloud (/Co-Lo/Corporate Datacenter)."
"Quali sono i due componenti principali di un sistema di orchestrazione di container?","Un control plane responsabile della gestione dei container e dei worker node che ospitano effettivamente i container."
"Cos'è una Service Mesh?","Una service mesh aggiunge un server proxy a ogni container in un'architettura per gestire il traffico di rete tra di loro."
"Da cosa è composto il 'data plane' in una service mesh?","È formato dai proxy che implementano le regole di rete e modellano il flusso del traffico."
"Da cosa è composto il 'control plane' in una service mesh?","È il componente che gestisce centralmente le regole che vengono distribuite al data plane."
"Come fanno i container a persistere i dati?","Utilizzando un 'volume', che mappa una directory dell'host nel filesystem del container."
